"resp.id","ques","alt","brandFord","brandGM","brandDodge","enghyb","engelec","price"
1,1,1,1,0,0,0,1,0.5176159334369
1,1,2,1,0,0,0,0,0.0974897837731987
1,1,3,0,1,0,0,1,0.101957165636122
1,1,4,0,0,0,0,0,0
1,2,1,1,0,0,0,1,0.552895397180691
1,2,2,0,0,1,0,0,0.88122747046873
1,2,3,0,1,0,0,1,0.628238940611482
1,2,4,0,0,0,0,0,0
1,3,1,1,0,0,1,0,0.253418082371354
1,3,2,0,0,1,0,0,0.77529555791989
1,3,3,1,0,0,0,1,0.609467238886282
1,3,4,0,0,0,0,0,0
1,4,1,0,0,1,0,0,0.69996713870205
1,4,2,0,0,1,1,0,0.928746761288494
1,4,3,0,1,0,0,0,0.662638881243765
1,4,4,0,0,0,0,0,0
1,5,1,1,0,0,1,0,0.689301565289497
1,5,2,0,0,1,0,0,0.249016341986135
1,5,3,0,0,1,0,1,0.0931751148309559
1,5,4,0,0,0,0,0,0
1,6,1,0,0,1,0,0,0.389175177318975
1,6,2,0,0,1,1,0,0.75572042260319
1,6,3,1,0,0,1,0,0.173702692845836
1,6,4,0,0,0,0,0,0
1,7,1,0,0,1,1,0,0.250625471351668
1,7,2,1,0,0,1,0,0.688554649241269
1,7,3,0,1,0,0,0,0.335994826396927
1,7,4,0,0,0,0,0,0
1,8,1,0,0,1,0,1,0.305813931627199
1,8,2,0,0,1,1,0,0.219440057175234
1,8,3,1,0,0,0,0,0.397879696451128
1,8,4,0,0,0,0,0,0
1,9,1,0,1,0,0,0,0.435116852866486
1,9,2,0,0,1,0,0,0.673305671429262
1,9,3,0,0,1,1,0,0.54443607176654
1,9,4,0,0,0,0,0,0
1,10,1,1,0,0,1,0,0.728977212682366
1,10,2,0,1,0,0,1,0.271541259251535
1,10,3,0,0,1,0,1,0.701769283041358
1,10,4,0,0,0,0,0,0
1,11,1,0,1,0,0,1,0.931740943575278
1,11,2,1,0,0,0,0,0.267899898346514
1,11,3,0,1,0,0,0,0.596397335641086
1,11,4,0,0,0,0,0,0
1,12,1,1,0,0,0,0,0.302230932284147
1,12,2,0,1,0,0,1,0.776852056849748
1,12,3,0,1,0,0,1,0.982073481660336
1,12,4,0,0,0,0,0,0
1,13,1,0,0,1,0,1,0.0682543686125427
1,13,2,1,0,0,0,1,0.726691992720589
1,13,3,0,1,0,0,0,0.308747658738866
1,13,4,0,0,0,0,0,0
1,14,1,0,0,1,0,0,0.974940169835463
1,14,2,1,0,0,0,1,0.995638309745118
1,14,3,1,0,0,1,0,0.417543536052108
1,14,4,0,0,0,0,0,0
1,15,1,0,1,0,0,0,0.580433379858732
1,15,2,1,0,0,0,1,0.199290785007179
1,15,3,0,1,0,1,0,0.0247949017211795
1,15,4,0,0,0,0,0,0
1,16,1,0,0,1,0,1,0.450073560234159
1,16,2,0,1,0,1,0,0.010391871444881
1,16,3,0,1,0,0,0,0.787423417903483
1,16,4,0,0,0,0,0,0
1,17,1,1,0,0,1,0,0.111543797887862
1,17,2,0,0,1,0,0,0.896760692587122
1,17,3,0,1,0,0,1,0.170029285596684
